,GBgap_960321,GBgap_960516,GBgap_960626,GBgap_960815,GBgap_960918,GBgap_961106,GBgap_961212,GBgap_970129,GBgap_970319,GBgap_970515,GBgap_970625,GBgap_970814,GBgap_970924,GBgap_971106,GBgap_971211,GBgap_980128,GBgap_980325,GBgap_980514,GBgap_980624,GBgap_980813,GBgap_980923,GBgap_981112,GBgap_981216,GBgap_990128,GBgap_990324,GBgap_990513,GBgap_990623,GBgap_990818,GBgap_990929,GBgap_991110,GBgap_991215,GBgap_000127,GBgap_000315,GBgap_000511,GBgap_000621,GBgap_000816,GBgap_000927,GBgap_001108,GBgap_001213,GBgap_010125,GBgap_010314,GBgap_010509,GBgap_010620,GBgap_010816,GBgap_010927,GBgap_011031,GBgap_011205,GBgap_020123,GBgap_020313,GBgap_020501,GBgap_020620,GBgap_020807,GBgap_020918,GBgap_021030,GBgap_021204,GBgap_030122,GBgap_030313,GBgap_030430,GBgap_030618,GBgap_030806,GBgap_030910,GBgap_031022,GBgap_031203,GBgap_040121,GBgap_040311,GBgap_040428,GBgap_040623,GBgap_040805,GBgap_040915,GBgap_041103,GBgap_041208,GBgap_050126,GBgap_050316,GBgap_050428,GBgap_050622,GBgap_050804,GBgap_050914,GBgap_051026,GBgap_051207,GBgap_060125,GBgap_060322,GBgap_060503,GBgap_060621,GBgap_060803,GBgap_060913,GBgap_061018,GBgap_061206,GBgap_070124,GBgap_070314,GBgap_070502,GBgap_070620,GBgap_070802,GBgap_070912,GBgap_071024,GBgap_071205,GBgap_080123,GBgap_080313,GBgap_080423,GBgap_080618,GBgap_080730,GBgap_080910,GBgap_081022,GBgap_081210,GBgap_090122,GBgap_090312,GBgap_090422,GBgap_090617,GBgap_090806,GBgap_090916,GBgap_091029,GBgap_091209,GBgap_100120,GBgap_100310,GBgap_100421,GBgap_100616,GBgap_100804,GBgap_100915,GBgap_101027,GBgap_101208,GBgap_110119,GBgap_110309,GBgap_110420,GBgap_110615,GBgap_110803,GBgap_110914,GBgap_111026,GBgap_111207,GBgap_120118,GBgap_120307,GBgap_120418,GBgap_120613,GBgap_120725,GBgap_120905,GBgap_121017,GBgap_121205,GBgap_130123,GBgap_130313,GBgap_130424,GBgap_130612,GBgap_130724,GBgap_130911,GBgap_131023,GBgap_131212,GBgap_140123,GBgap_140312,GBgap_140423,GBgap_140611,GBgap_140723,GBgap_140910,GBgap_141022,GBgap_141210,GBgap_150121,GBgap_150311,GBgap_150422,GBgap_150610,GBgap_150722,GBgap_150909,GBgap_151021,GBgap_151209,GBgap_160120,GBgap_160309,GBgap_160420,GBgap_160608,GBgap_160720,GBgap_160914,GBgap_161026,GBgap_161207,GBgap_170123,GBgap_170303,GBgap_170421,GBgap_170605,GBgap_170714,GBgap_170908,GBgap_171020,GBgap_171201
1975:01,,,-4.783864686,-4.785224023,-4.785224023,-4.784862754,-4.785323467,-4.877020666,-4.877635202,-4.880701551,-4.880865083,-4.879572788,-4.878936246,-4.878709348,-4.878709348,-4.878709348,-4.600605775,-4.600637079,-4.600637079,-4.670303562,-4.675962499,-4.675962499,-4.675962499,-4.675962499,-5.236792891,-5.241485805,-5.241485805,-5.241789662,-5.241789662,-4.968890364,-4.968827831,-4.968785657,-4.969203071,-5.222150819,-5.222150819,-5.360490248,-5.360490248,,,-5.365049338,-5.365049338,-5.364611114,-5.364554489,-5.436344429,-5.436510478,-5.43650034,-5.438070697,-5.437442245,-5.432039101,-5.431003942,-5.431058192,-4.240478068,-4.607132308,-4.60718299,-4.606981544,-4.606756493,-4.606670437,-4.606787275,-4.606787275,-4.606893741,-4.607285529,-4.607285529,-4.608429672,-4.330871922,-4.33037902,-4.330371369,-4.597435352,-4.596366892,-4.596644964,-4.596585343,-4.596568108,-4.596640304,-4.596206852,-4.596527125,-4.596213386,-4.596512711,-4.596519649,-4.596570624,-4.596392905,-4.596577347,-4.596762532,-4.595901079,-4.596433614,-4.59706176,-4.597054742,-4.597058,-4.597066839,-4.597066839,-4.428040909,-4.42804413,-4.428292949,-4.428179302,-4.427969769,-4.428027725,-4.42895711,-4.429268472,-4.428939444,-4.428971663,-4.428618139,-4.42867915,-4.430063599,-4.429785169,-4.426463731,-4.426107499,-4.42034365,-4.420328442,-4.421454714,-4.481781915,-4.481836601,-4.477137843,-4.478482969,-4.477148391,-4.484159766,-4.484159766,-4.481428991,-4.480021241,-4.479045479,-4.259358277,-4.804199853,-4.803942536,-4.800348923,-4.799696521,-4.808913915,-4.808213836,-4.825066371,-4.824903804,-4.822127258,-4.82032576,-4.881684195,-4.881684195,-4.881384322,-4.881384322,-4.88392961,-4.88392961,-4.88392961,-4.88392961,-4.88392961,-4.883853408,-4.883853408,-4.883853408,-4.948279673,-4.948279673,-4.948279673,-4.941958262,-4.941958262,-4.941958262,-4.942220219,-4.942220219,-4.940434872,-4.940434872,-4.940443217,-4.940443217,-4.940564191,-4.940564191,-4.940564191,-4.940564191,-5.13270682,-5.144748763,-5.144748763,-5.144748763,-5.144748763,-5.144748763,-5.144748763,-5.144748763,-5.144626953,-5.144626953,-5.144626953,-5.144626953,-5.144626953,-5.144626953,-5.144627106,-5.144627106,-5.144627106,-5.144627106,-5.144627106
1975:02,,,-4.754686422,-4.756505871,-4.756505871,-4.755879889,-4.75645129,-4.8680729,-4.86930262,-4.810117541,-4.810352676,-4.807589407,-4.806903715,-4.806932162,-4.806932162,-4.806932162,-4.526523144,-4.526632096,-4.526632096,-4.596389286,-4.607716355,-4.607716355,-4.607716355,-4.607716355,-5.169772344,-5.176710221,-5.176710221,-5.177217157,-5.177217157,-4.952889799,-4.952727902,-4.952546551,-4.953066589,-5.184196553,-5.184196553,-5.322415795,-5.322415795,,,-5.328599624,-5.328599624,-5.327534494,-5.327444735,-5.399059861,-5.399226762,-5.399224225,-5.400953504,-5.400274775,-5.393732459,-5.39197656,-5.392055817,-4.192702577,-4.561181248,-4.561233641,-4.56104786,-4.560897203,-4.561100834,-4.561615119,-4.561615119,-4.561769262,-4.563691934,-4.563691934,-4.564701865,-4.423431501,-4.422942503,-4.422930642,-4.689755292,-4.688602147,-4.689148945,-4.689118909,-4.689098699,-4.689177283,-4.687970075,-4.688081754,-4.687484202,-4.688306898,-4.688310424,-4.688379837,-4.688202771,-4.688510202,-4.688528285,-4.687639607,-4.689449154,-4.6890486,-4.689095983,-4.689077059,-4.689114241,-4.689114241,-4.508370034,-4.508453208,-4.508649155,-4.508588654,-4.508429378,-4.508484332,-4.509645667,-4.509766677,-4.509526369,-4.509586879,-4.509239692,-4.509292892,-4.51044746,-4.510141823,-4.506722459,-4.506394179,-4.499748906,-4.499722021,-4.500910159,-4.520359828,-4.520406757,-4.518294439,-4.518955751,-4.51762434,-4.522683674,-4.522683674,-4.520435097,-4.519602556,-4.520504133,-4.315510049,-4.779196494,-4.779062199,-4.774453124,-4.773708767,-4.785685335,-4.785081244,-4.799817767,-4.79960459,-4.796222331,-4.794778791,-4.858390904,-4.858390904,-4.858214355,-4.858214355,-4.860608989,-4.860608989,-4.860608989,-4.860608989,-4.860608989,-4.860612997,-4.860612997,-4.860612997,-4.917566835,-4.917566835,-4.917566835,-4.910584643,-4.910584643,-4.910584643,-4.910879515,-4.910879515,-4.908634813,-4.908634813,-4.908633646,-4.908633646,-4.908769973,-4.908769973,-4.908769973,-4.908769973,-5.106243518,-5.117585827,-5.117585827,-5.117585827,-5.117585827,-5.117585827,-5.117585827,-5.117585827,-5.117365116,-5.117365116,-5.117365116,-5.117365116,-5.117365116,-5.117365116,-5.117365301,-5.117365301,-5.117365301,-5.117365301,-5.117365301
1975:03,,,-3.757536786,-3.759839787,-3.759839787,-3.758939882,-3.759628968,-3.892519454,-3.894383215,-3.823264492,-3.823574289,-3.819297096,-3.818555113,-3.818842024,-3.818842024,-3.818842024,-3.53340501,-3.533593526,-3.533593526,-3.604113322,-3.621280513,-3.621280513,-3.621280513,-3.621280513,-4.189981221,-4.199255532,-4.199255532,-4.199972655,-4.199972655,-4.15710329,-4.156839853,-4.156516648,-4.157144453,-4.339854121,-4.339854121,-4.479127066,-4.479127066,,,-4.487003306,-4.487003306,-4.485296394,-4.48517243,-4.557219922,-4.557389103,-4.557394216,-4.559298593,-4.558563351,-4.550815644,-4.548317357,-4.548422529,-3.330017806,-3.703470652,-3.703525219,-3.703353672,-3.703276831,-3.703774623,-3.704694487,-3.704694487,-3.704898068,-3.70838242,-3.70838242,-3.70926546,-3.6038091,-3.603319365,-3.603303148,-3.872435183,-3.871185696,-3.872008483,-3.872007972,-3.871984571,-3.872070341,-3.870071964,-3.871494671,-3.870605452,-3.87196334,-3.871963462,-3.872052115,-3.87187402,-3.872308303,-3.872158189,-3.871233606,-3.8743471,-3.87290623,-3.873008878,-3.872967425,-3.873033518,-3.873033518,-3.678757144,-3.678921692,-3.679066221,-3.679058705,-3.678948561,-3.679001014,-3.680407189,-3.68033751,-3.680184326,-3.680273926,-3.679929815,-3.679975649,-3.680909545,-3.680573572,-3.677022909,-3.67671967,-3.669122688,-3.669083777,-3.670345596,-3.687424394,-3.687463932,-3.687940205,-3.687918087,-3.68657771,-3.689715005,-3.689715005,-3.687932104,-3.687671943,-3.690474628,-3.498420898,-3.884471814,-3.884460503,-3.87878406,-3.87794006,-3.892811799,-3.892275573,-3.90501024,-3.904744018,-3.900719301,-3.899624001,-3.966092409,-3.966092409,-3.96603876,-3.96603876,-3.968303155,-3.968303155,-3.968303155,-3.968303155,-3.968303155,-3.968388184,-3.968388184,-3.968388184,-4.054232769,-4.054232769,-4.054232769,-4.046522455,-4.046522455,-4.046522455,-4.046853133,-4.046853133,-4.044113581,-4.044113581,-4.044102801,-4.044102801,-4.04425582,-4.04425582,-4.04425582,-4.04425582,-4.248838916,-4.259576679,-4.259576679,-4.259576679,-4.259576679,-4.259576679,-4.259576679,-4.259576679,-4.259251882,-4.259251882,-4.259251882,-4.259251882,-4.259251882,-4.259251882,-4.259252119,-4.259252119,-4.259252119,-4.259252119,-4.259252119
1975:04,,,-3.377669162,-3.380447589,-3.380447589,-3.379275708,-3.380079659,-3.533669925,-3.536164391,-3.502353154,-3.502736448,-3.496954731,-3.496160924,-3.49670783,-3.49670783,-3.49670783,-3.208190288,-3.208458135,-3.208458135,-3.279252786,-3.302219086,-3.302219086,-3.302219086,-3.302219086,-3.873637817,-3.885214925,-3.885214925,-3.886140032,-3.886140032,-3.830965811,-3.830600953,-3.830135834,-3.830869541,-3.940220667,-3.940220667,-4.079897553,-4.079897553,,,-4.089450859,-4.089450859,-4.087101894,-4.086943867,-4.15908612,-4.159256803,-4.159269643,-4.16134234,-4.160553348,-4.151621354,-4.14838283,-4.148513756,-2.916611935,-3.29332515,-3.293381658,-3.293225352,-3.293223675,-3.294017162,-3.295343604,-3.295343604,-3.295596308,-3.300646427,-3.300646427,-3.301396689,-3.1432963,-3.142807699,-3.14278713,-3.413224194,-3.411881871,-3.412981184,-3.413010594,-3.41298405,-3.413076773,-3.4102843,-3.411113018,-3.409931619,-3.411826684,-3.411823357,-3.411931169,-3.411752709,-3.412313886,-3.411993895,-3.411036457,-3.415459456,-3.412969856,-3.413128117,-3.41306399,-3.41315913,-3.41315913,-3.205909918,-3.20615632,-3.206248178,-3.206294399,-3.206234478,-3.206284196,-3.207933175,-3.207670474,-3.207606186,-3.207724931,-3.207385252,-3.207423446,-3.208130091,-3.207764653,-3.204094467,-3.20381777,-3.195285121,-3.195234167,-3.196565853,-3.208404976,-3.208436869,-3.211535426,-3.210820603,-3.209476223,-3.210653206,-3.210653206,-3.209349139,-3.209670204,-3.214389408,-3.036179248,-3.342023706,-3.342137277,-3.335398951,-3.334457015,-3.352211002,-3.351759201,-3.362413369,-3.362094314,-3.357432752,-3.356695122,-3.425809945,-3.425809945,-3.425881249,-3.425881249,-3.428004829,-3.428004829,-3.428004829,-3.428004829,-3.428004829,-3.428171773,-3.428171773,-3.428171773,-3.47298367,-3.47298367,-3.47298367,-3.46455789,-3.46455789,-3.46455789,-3.464923901,-3.464923901,-3.461720206,-3.461720206,-3.461699699,-3.461699699,-3.461869193,-3.461869193,-3.461869193,-3.461869193,-3.673040164,-3.683145726,-3.683145726,-3.683145726,-3.683145726,-3.683145726,-3.683145726,-3.683145726,-3.682701754,-3.682701754,-3.682701754,-3.682701754,-3.682701754,-3.682701754,-3.682702058,-3.682702058,-3.682702058,-3.682702058,-3.682702058
1976:01,,,-1.849367325,-1.852663409,-1.852663409,-1.851200325,-1.852130908,-2.028640519,-2.031807376,-2.063685203,-2.064147756,-2.056767349,-2.055911621,-2.056729589,-2.056729589,-2.056729589,-1.761750641,-1.762102361,-1.762102361,-1.833992623,-1.863128799,-1.863128799,-1.863128799,-1.863128799,-2.443899347,-2.457954564,-2.457954564,-2.459102095,-2.459102095,-2.501068936,-2.500597117,-2.499982805,-2.500831859,-2.477118192,-2.477118192,-2.61874192,-2.61874192,,,-2.630109916,-2.630109916,-2.627080595,-2.626886106,-2.699917804,-2.700091896,-2.700112752,-2.702379824,-2.701527365,-2.691289864,-2.687261085,-2.687419706,-1.428218551,-1.812395968,-1.812455078,-1.812312594,-1.812387538,-1.813491245,-1.815246822,-1.815246822,-1.815552389,-1.822254468,-1.822254468,-1.822877595,-1.777292777,-1.776800806,-1.776775613,-2.051046323,-2.049596977,-2.050988234,-2.051048404,-2.051018412,-2.051119078,-2.047491606,-2.049584174,-2.048094141,-2.050554074,-2.050547201,-2.050675531,-2.050495052,-2.051190711,-2.050694669,-2.049694906,-2.055493072,-2.051911883,-2.052128274,-2.052040451,-2.052166068,-2.052166068,-1.829781896,-1.830114,-1.830153025,-1.830254441,-1.830245154,-1.830292542,-1.83220422,-1.831742365,-1.831768086,-1.831917632,-1.831579333,-1.831610092,-1.832091654,-1.831692808,-1.827866901,-1.827614698,-1.818049584,-1.817985887,-1.819401084,-1.798540016,-1.798564419,-1.804366113,-1.802938229,-1.801576968,-1.800766436,-1.800766436,-1.799938179,-1.800854914,-1.807573074,-1.641778237,-1.86871456,-1.868956714,-1.861070127,-1.860019237,-1.880884785,-1.880518734,-1.889150158,-1.888774127,-1.883418011,-1.883038541,-1.955512724,-1.955512724,-1.955712276,-1.955712276,-1.957712294,-1.957712294,-1.957712294,-1.957712294,-1.957712294,-1.957964457,-1.957964457,-1.957964457,-2.016296759,-2.016296759,-2.016296759,-2.007064973,-2.007064973,-2.007064973,-2.007470341,-2.007470341,-2.00371566,-2.00371566,-2.003685037,-2.003685037,-2.003872872,-2.003872872,-2.003872872,-2.003872872,-2.223659751,-2.233185508,-2.233185508,-2.233185508,-2.233185508,-2.233185508,-2.233185508,-2.233185508,-2.232640467,-2.232640467,-2.232640467,-2.232640467,-2.232640467,-2.232640467,-2.232640824,-2.232640824,-2.232640824,-2.232640824,-2.232640824
1976:02,,,-1.920330214,-1.92409728,-1.92409728,-1.922362785,-1.92340653,-2.120259262,-2.124056035,-2.204260316,-2.204795643,-2.195915488,-2.195010973,-2.196090304,-2.196090304,-2.196090304,-1.899377816,-1.899808802,-1.899808802,-1.971635965,-2.00654947,-2.00654947,-2.00654947,-2.00654947,-2.587317779,-2.603654805,-2.603654805,-2.605008996,-2.605008996,-2.601779055,-2.601205913,-2.60044962,-2.601402889,-2.48449442,-2.48449442,-2.625926848,-2.625926848,,,-2.638963018,-2.638963018,-2.635289412,-2.635060886,-2.707877714,-2.708052601,-2.708081277,-2.710510967,-2.709607127,-2.69820103,-2.693431671,-2.69361598,-1.425973737,-1.811848694,-1.81190954,-1.811783271,-1.811934863,-1.813336645,-1.81550105,-1.81550105,-1.815855613,-1.82413231,-1.82413231,-1.824616823,-1.859241999,-1.858753958,-1.858724455,-2.132785897,-2.131249743,-2.132916048,-2.133006488,-2.132973449,-2.133080661,-2.12866126,-2.129415947,-2.127635385,-2.130631029,-2.130620665,-2.130767874,-2.130588038,-2.131409597,-2.130742559,-2.129714807,-2.136819974,-2.132186092,-2.132458158,-2.132347634,-2.13250226,-2.13250226,-1.89809435,-1.898508364,-1.89849326,-1.898649105,-1.898691274,-1.898735596,-1.90088503,-1.900228216,-1.900344778,-1.900523312,-1.900191453,-1.900214218,-1.900460479,-1.900033719,-1.896107003,-1.895883384,-1.885414396,-1.885338731,-1.886817479,-1.850071715,-1.850088154,-1.858543342,-1.856413959,-1.855056113,-1.852242439,-1.852242439,-1.851909159,-1.853416089,-1.862059846,-1.711352071,-1.854809695,-1.855178754,-1.846245339,-1.84509969,-1.868809518,-1.868514783,-1.874962018,-1.874533813,-1.868553341,-1.868543279,-1.943333923,-1.943333923,-1.943660678,-1.943660678,-1.945505032,-1.945505032,-1.945505032,-1.945505032,-1.945505032,-1.945839914,-1.945839914,-1.945839914,-1.999047885,-1.999047885,-1.999047885,-1.989135497,-1.989135497,-1.989135497,-1.989574776,-1.989574776,-1.98541253,-1.98541253,-1.985372093,-1.985372093,-1.985575747,-1.985575747,-1.985575747,-1.985575747,-2.21083101,-2.219647436,-2.219647436,-2.219647436,-2.219647436,-2.219647436,-2.219647436,-2.219647436,-2.218986536,-2.218986536,-2.218986536,-2.218986536,-2.218986536,-2.218986536,-2.218986941,-2.218986941,-2.218986941,-2.218986941,-2.218986941
1976:03,,,-2.260797104,-2.265022813,-2.265022813,-2.263022819,-2.264176378,-2.48074105,-2.485154382,-2.618316551,-2.61892274,-2.608576214,-2.607625724,-2.608961917,-2.608961917,-2.608961917,-2.311357763,-2.311866364,-2.311866364,-2.383429341,-2.423989582,-2.423989582,-2.423989582,-2.423989582,-3.003126793,-3.021686674,-3.021686674,-3.023242533,-3.023242533,-3.032399516,-3.031727547,-3.030832614,-3.031886297,-2.835701814,-2.835701814,-2.976444928,-2.976444928,,,-2.991097147,-2.991097147,-2.986794595,-2.986532964,-3.058878948,-3.05905401,-3.059090376,-3.061673517,-3.060721672,-3.048191501,-3.042701089,-3.042910342,-1.77132706,-2.157532953,-2.157595314,-2.157485648,-2.157713083,-2.159406949,-2.161971109,-2.161971109,-2.162373243,-2.172189786,-2.172189786,-2.17253447,-2.200008502,-2.199525662,-2.199491945,-2.47262128,-2.471002747,-2.472938515,-2.473058855,-2.47302287,-2.473136317,-2.467940064,-2.469070708,-2.467005593,-2.470526692,-2.47051288,-2.470678495,-2.470499777,-2.471444512,-2.470608985,-2.469556096,-2.477943757,-2.472274028,-2.472600808,-2.472467974,-2.472651073,-2.472651073,-2.226892646,-2.227387139,-2.227318165,-2.227527805,-2.227621109,-2.227662259,-2.230042774,-2.229193535,-2.22940026,-2.229607191,-2.229282628,-2.229297371,-2.229308629,-2.228855203,-2.224838523,-2.224643967,-2.213302579,-2.213215196,-2.214753307,-2.156847988,-2.156856451,-2.167933375,-2.165110627,-2.163759717,-2.158957569,-2.158957569,-2.159118326,-2.161209366,-2.171749123,-2.036462393,-2.096332361,-2.096827068,-2.086872492,-2.085635283,-2.112121074,-2.111921788,-2.116173158,-2.115694014,-2.10910619,-2.10946471,-2.186371777,-2.186371777,-2.186824584,-2.186824584,-2.188508841,-2.188508841,-2.188508841,-2.188508841,-2.188508841,-2.188925376,-2.188925376,-2.188925376,-2.222274814,-2.222274814,-2.222274814,-2.211707569,-2.211707569,-2.211707569,-2.212179611,-2.212179611,-2.207537183,-2.207537183,-2.207487052,-2.207487052,-2.207705992,-2.207705992,-2.207705992,-2.207705992,-2.437865506,-2.44593447,-2.44593447,-2.44593447,-2.44593447,-2.44593447,-2.44593447,-2.44593447,-2.445177637,-2.445177637,-2.445177637,-2.445177637,-2.445177637,-2.445177637,-2.445178106,-2.445178106,-2.445178106,-2.445178106,-2.445178106
1976:04,,,-2.083789293,-2.088495226,-2.088495226,-2.0862196,-2.087488891,-2.324873579,-2.329925511,-2.52175932,-2.52243931,-2.510577046,-2.509575757,-2.511174974,-2.511174974,-2.511174974,-2.211125592,-2.21171422,-2.21171422,-2.283388119,-2.329788919,-2.329788919,-2.329788919,-2.329788919,-2.910328945,-2.93120131,-2.93120131,-2.932966294,-2.932966294,-3.111473392,-3.110700694,-3.109664621,-3.110821987,-2.851144661,-2.851144661,-2.991685498,-2.991685498,,,-3.007998101,-3.007998101,-3.003054173,-3.002758661,-3.074884593,-3.075060432,-3.075104584,-3.077849488,-3.076846544,-3.063153397,-3.056925734,-3.057160558,-1.777273269,-2.165138497,-2.165202583,-2.165109084,-2.165412872,-2.1674036,-2.170374898,-2.170374898,-2.170825817,-2.182210408,-2.182210408,-2.182416959,-2.309545156,-2.30906636,-2.30902837,-2.581871271,-2.580166936,-2.582375477,-2.582525863,-2.582486861,-2.58260678,-2.576625034,-2.578175285,-2.575822072,-2.579874483,-2.579857206,-2.580041532,-2.579863507,-2.580933072,-2.579927867,-2.578847484,-2.588531429,-2.581817313,-2.582199322,-2.582043968,-2.582255839,-2.582255839,-2.324620538,-2.325196321,-2.325073549,-2.325337242,-2.325481679,-2.325519768,-2.328135948,-2.327093127,-2.327390109,-2.327625798,-2.327307737,-2.327314529,-2.327091833,-2.326610791,-2.322495104,-2.322329029,-2.310092386,-2.309993131,-2.311593961,-2.233311074,-2.23331161,-2.247025901,-2.243505918,-2.242158753,-2.235364691,-2.235364691,-2.23601793,-2.238695688,-2.251148643,-2.130902769,-2.107611456,-2.108232648,-2.097236186,-2.095904749,-2.125221447,-2.125088467,-2.127159637,-2.126628561,-2.119419488,-2.120146488,-2.199344898,-2.199344898,-2.19992449,-2.19992449,-2.20145302,-2.20145302,-2.20145302,-2.20145302,-2.20145302,-2.201951971,-2.201951971,-2.201951971,-2.209975941,-2.209975941,-2.209975941,-2.198729841,-2.198729841,-2.198729841,-2.19923571,-2.19923571,-2.194121751,-2.194121751,-2.194061826,-2.194061826,-2.194296546,-2.194296546,-2.194296546,-2.194296546,-2.429902808,-2.437238604,-2.437238604,-2.437238604,-2.437238604,-2.437238604,-2.437238604,-2.437238604,-2.436391018,-2.436391018,-2.436391018,-2.436391018,-2.436391018,-2.436391018,-2.436391532,-2.436391532,-2.436391532,-2.436391532,-2.436391532
1977:01,,,-1.61626428,-1.621467508,-1.621467508,-1.618907708,-1.620297245,-1.879336311,-1.88504571,-2.152445171,-2.153201215,-2.139782803,-2.138727674,-2.140595648,-2.140595648,-2.140595648,-1.837251083,-1.837921771,-1.837921771,-1.909907338,-1.962306296,-1.962306296,-1.962306296,-1.962306296,-2.545877474,-2.569131476,-2.569131476,-2.57111149,-2.57111149,-2.771958548,-2.771081509,-2.769899439,-2.771165771,-2.48389645,-2.48389645,-2.624787978,-2.624787978,,,-2.642831224,-2.642831224,-2.637224135,-2.636893455,-2.709082704,-2.709260016,-2.709312155,-2.71223022,-2.711172042,-2.696257763,-2.689265632,-2.689527044,-1.396262242,-1.787321232,-1.787387302,-1.787309661,-1.787691289,-1.789987844,-1.793379523,-1.793379523,-1.793881186,-1.806884558,-1.806884558,-1.806953274,-1.942056668,-1.941579586,-1.941537126,-2.215425943,-2.213627253,-2.216120077,-2.216301323,-2.216259105,-2.2163861,-2.20958756,-2.212113543,-2.209459989,-2.214064889,-2.214044054,-2.214248039,-2.21406984,-2.215269783,-2.214089549,-2.212976327,-2.22400721,-2.216213207,-2.216652455,-2.216473765,-2.216715517,-2.216715517,-1.945913306,-1.946573422,-1.946396099,-1.946715288,-1.946911708,-1.946946913,-1.949812203,-1.948570156,-1.948959103,-1.949224784,-1.948911691,-1.948910541,-1.948452133,-1.947941048,-1.943705983,-1.943567658,-1.930373457,-1.930261812,-1.931933355,-1.88817652,-1.888169111,-1.904587108,-1.900352822,-1.8990036,-1.89018288,-1.89018288,-1.89133277,-1.8946104,-1.909035457,-1.803349759,-1.696527948,-1.697278822,-1.685188761,-1.683756964,-1.716042609,-1.716004313,-1.715895352,-1.715309841,-1.707445868,-1.708545996,-1.790386798,-1.790386798,-1.79109619,-1.79109619,-1.792474957,-1.792474957,-1.792474957,-1.792474957,-1.792474957,-1.79305881,-1.79305881,-1.79305881,-1.796822253,-1.796822253,-1.796822253,-1.784848247,-1.784848247,-1.784848247,-1.785390164,-1.785390164,-1.779781615,-1.779781615,-1.779711608,-1.779711608,-1.779963139,-1.779963139,-1.779963139,-1.779963139,-2.022005325,-2.028655363,-2.028655363,-2.028655363,-2.028655363,-2.028655363,-2.028655363,-2.028655363,-2.027692678,-2.027692678,-2.027692678,-2.027692678,-2.027692678,-2.027692678,-2.027693258,-2.027693258,-2.027693258,-2.027693258,-2.027693258
1977:02,,,-0.39608355,-0.401832021,-0.401832021,-0.39896378,-0.400486151,-0.683508842,-0.689929973,-1.007848229,-1.008687455,-0.993583173,-0.992465069,-0.994620672,-0.994620672,-0.994620672,-0.685543913,-0.686303216,-0.686303216,-0.759171444,-0.818073863,-0.818073863,-0.818073863,-0.818073863,-1.40931286,-1.435168159,-1.435168159,-1.43738209,-1.43738209,-1.867322283,-1.866334505,-1.864997744,-1.866381745,-1.554977245,-1.554977245,-1.697028569,-1.697028569,,,-1.716928543,-1.716928543,-1.710617447,-1.710249244,-1.782914823,-1.78309464,-1.783155171,-1.786265365,-1.785145174,-1.768908322,-1.761101587,-1.761391437,-0.447185753,-0.84371419,-0.843782648,-0.843720637,-0.844183334,-0.846802955,-0.85064005,-0.85064005,-0.851196007,-0.865914207,-0.865914207,-0.865843625,-0.838966341,-0.838487449,-0.838440135,-1.115429795,-1.113521937,-1.116321882,-1.116535802,-1.116490005,-1.116625128,-1.108946879,-1.111726964,-1.108748769,-1.113948796,-1.113924194,-1.114149654,-1.113969951,-1.115311176,-1.113944483,-1.112789631,-1.125269917,-1.116321706,-1.116822327,-1.116618618,-1.116892503,-1.116892503,-0.830705484,-0.831456143,-0.831222113,-0.831600025,-0.831850688,-0.831883227,-0.835022788,-0.833569214,-0.83405443,-0.83435254,-0.834042158,-0.834032937,-0.833331797,-0.8327864,-0.828398571,-0.828287391,-0.814022652,-0.813897594,-0.81565339,-0.737392353,-0.737376816,-0.756673749,-0.751679722,-0.750317405,-0.739367099,-0.739367099,-0.741030618,-0.744944028,-0.761488957,-0.669720839,-0.477178141,-0.478066978,-0.464766531,-0.463221027,-0.498788253,-0.498833643,-0.49650739,-0.495861762,-0.487267862,-0.488756306,-0.573950703,-0.573950703,-0.574797835,-0.574797835,-0.57603559,-0.57603559,-0.57603559,-0.57603559,-0.57603559,-0.576710517,-0.576710517,-0.576710517,-0.602914069,-0.602914069,-0.602914069,-0.590105819,-0.590105819,-0.590105819,-0.590688649,-0.590688649,-0.584517307,-0.584517307,-0.584436499,-0.584436499,-0.584707101,-0.584707101,-0.584707101,-0.584707101,-0.835198433,-0.841201253,-0.841201253,-0.841201253,-0.841201253,-0.841201253,-0.841201253,-0.841201253,-0.840116656,-0.840116656,-0.840116656,-0.840116656,-0.840116656,-0.840116656,-0.840117305,-0.840117305,-0.840117305,-0.840117305,-0.840117305
