"FOMC 
Meeting","Greenbook 
Publication 
Date",T,T-8,T-7,T-6,T-5,T-4,T-3,T-2,T-1,T,T+1,T+2,T+3,T+4,T+5,T+6,T+7,T+8,T+9
1987mtg5,12-Aug-87,1987Q3,#N/A,#N/A,-0.8,-1.2,-1.5,-1.7,-1.2,-1.1,-1.1,-1,-1,-1,-1,-1,#N/A,#N/A,#N/A,#N/A
1987mtg6,16-Sep-87,1987Q3,#N/A,#N/A,-0.8,-1.2,-1.5,-1.7,-1.2,-1.2,-0.9,-0.8,-0.7,-0.6,-0.6,-0.7,#N/A,#N/A,#N/A,#N/A
1987mtg7,28-Oct-87,1987Q4,#N/A,-0.8,-1.2,-1.5,-1.7,-1.2,-1.2,-0.8,-0.9,-1.3,-1.5,-1.4,-1.3,#N/A,#N/A,#N/A,#N/A,#N/A
1987mtg8,9-Dec-87,1987Q4,#N/A,#N/A,#N/A,#N/A,#N/A,-1.2,-1.2,-0.8,-0.6,-0.9,-1.1,-1.1,-0.9,-0.8,-0.6,-0.6,-0.5,#N/A
1988mtg1,3-Feb-88,1988Q1,#N/A,#N/A,#N/A,#N/A,-1.2,-1.2,-0.7,-0.3,-0.5,-0.7,-0.7,-0.6,-0.4,-0.3,-0.2,-0.1,#N/A,#N/A
1988mtg2,23-Mar-88,1988Q1,#N/A,#N/A,#N/A,#N/A,-1.2,-1.2,-0.7,-0.2,-0.1,-0.1,-0.1,0.1,0.1,0.1,0.1,0.1,#N/A,#N/A
1988mtg3,11-May-88,1988Q2,#N/A,#N/A,#N/A,-1.2,-1.2,-0.7,-0.1,-0.2,0.1,0.1,0.1,0,-0.1,-0.2,-0.3,#N/A,#N/A,#N/A
1988mtg4,22-Jun-88,1988Q2,#N/A,#N/A,#N/A,-1.2,-1.2,-0.7,-0.1,0.2,0.5,0.4,0.4,0.3,0.1,0.1,0.1,#N/A,#N/A,#N/A
1988mtg5,10-Aug-88,1988Q3,#N/A,#N/A,-1.9,-1.3,-0.8,0,0.2,0.4,0.5,0.3,0.6,0.6,0.5,0.3,#N/A,#N/A,#N/A,#N/A
1988mtg6,14-Sep-88,1988Q3,#N/A,#N/A,-1.9,-1.3,-0.8,0,0.2,0.4,0.4,0.2,0.6,0.7,0.7,0.6,#N/A,#N/A,#N/A,#N/A
1988mtg7,26-Oct-88,1988Q4,#N/A,-1.9,-1.3,-0.8,0,0.2,0.4,0.3,0,0.6,0.7,0.6,0.6,#N/A,#N/A,#N/A,#N/A,#N/A
1988mtg8,7-Dec-88,1988Q4,#N/A,#N/A,#N/A,#N/A,#N/A,0.2,0.4,0.4,0.3,1.1,1.1,1.1,1,0.6,0.1,-0.2,-0.4,#N/A
1989mtg1,1-Feb-89,1989Q1,#N/A,#N/A,#N/A,#N/A,0.2,0.4,0.3,0.2,0.8,0.9,0.8,0.7,0.3,-0.2,-0.5,-0.7,#N/A,#N/A
1989mtg2,22-Mar-89,1989Q1,#N/A,#N/A,#N/A,#N/A,0.2,0.4,0.3,0.2,0.8,1,0.8,0.6,0.1,-0.4,-0.7,-0.9,#N/A,#N/A
1989mtg3,10-May-89,1989Q2,#N/A,#N/A,#N/A,0.2,0.4,0.3,0.3,1,1,0.8,0.6,0.3,-0.2,-0.5,-0.8,#N/A,#N/A,#N/A
1989mtg4,28-Jun-89,1989Q2,#N/A,#N/A,#N/A,0.2,0.4,0.3,0.3,0.8,0.6,0.3,0,-0.3,-0.6,-0.8,-0.9,#N/A,#N/A,#N/A
1989mtg5,16-Aug-89,1989Q3,#N/A,#N/A,#N/A,#N/A,#N/A,1,1.23,1.04,0.91,0.81,0.64,0.39,0.1,-0.09,#N/A,#N/A,#N/A,#N/A
1989mtg6,27-Sep-89,1989Q3,#N/A,#N/A,#N/A,#N/A,#N/A,1,1.2,1.2,1.1,1,0.8,0.5,0.1,-0.2,-0.4,-0.6,-0.7,-0.9
1989mtg7,8-Nov-89,1989Q4,#N/A,#N/A,#N/A,#N/A,1,1.2,1.2,1.1,0.9,0.8,0.4,0.1,-0.2,-0.5,-0.6,-0.8,-0.9,#N/A
